feature,importance
income_squared,0.2658546183778672
median_income,0.2194144227899683
ocean_proximity_INLAND,0.14405078887903072
population_per_household,0.11655720322066086
income_age_interaction,0.05336317303688122
distance_from_coast,0.04856400154218614
longitude,0.03609917686987069
latitude,0.03555337859059253
rooms_per_household,0.018835539779292747
bedrooms_per_room,0.016386957770656282
housing_median_age,0.009704602448010554
total_rooms,0.008925873461544631
total_bedrooms,0.008627463261664562
population,0.007949157225235658
households,0.006261308551317831
