feature,importance
ocean_proximity_INLAND,0.37794542
ocean_proximity_NEAR BAY,0.10785478
median_income,0.10194992
income_squared,0.09541071
ocean_proximity_NEAR OCEAN,0.062583655
ocean_proximity_<1H OCEAN,0.06127519
income_age_interaction,0.039865352
population_per_household,0.03029352
ocean_proximity_ISLAND,0.026585674
distance_from_coast,0.021286592
latitude,0.013606868
longitude,0.011407699
bedrooms_per_room,0.011195151
rooms_per_household,0.009526463
housing_median_age,0.008447791
